1, 179,  72, 178
  2, 239,  20, 218
  3, 154,  48, 153
  4, 240,  29, 222
  5, 189, 110, 188
  6, 170,  99, 100
  7, 150, 147,  92
  8, 215,  36, 136
  9, 254, 174,  67
 10, 148,  89,  90
 11, 524, 173,  88
 12, 149,  91, 147
 13, 274, 272, 147
 14, 269, 166, 167
 15, 232,  10,   9
 16, 168,  96,  97
 17, 234,  13,  12
 18, 405, 288, 295
 19, 239, 237,  19
 20, 406, 289, 296
 21, 290, 184, 289
 22, 310, 185, 290
 23, 242, 241,  25
 24, 242,  26, 131
 25, 203,  81, 202
 26, 435, 427, 324
 27, 381, 263, 277
 28, 240, 238,  28
 29, 382, 264, 278
 30, 265, 159, 264
 31, 266, 160, 265
 32, 244, 243,  34
 33, 244,  35, 132
 34, 163,  57, 162
 35, 251, 186,  63
 36, 211, 125, 210
 37, 198, 119, 197
 38, 407, 301, 304
 39, 408, 305, 306
 40, 409, 306, 307
 41, 410, 307, 308
 42, 411, 308, 309
 43, 309, 308, 192
 44, 231,  42, 230
 45, 253,   5,  87
 46, 152, 139,  46
 47, 373, 275, 259
 48, 428, 373, 374
 49, 153,  47, 139
 50, 155,  49, 154
 51, 156,  50, 155
 52, 157,  51, 156
 53, 158,  52, 157
 54, 159,  53, 158
 55, 160,  54, 159
 56, 161,  55, 160
 57, 162,  56, 161
 58, 267, 161, 266
 59, 164,  58, 163
 60, 268, 260, 165
 61, 165,  60,  59
 62, 141,  61, 140
 63, 260, 140, 165
 64,  88,  64,   7
 65, 524,  88,  89
 66, 273, 149, 272
 67, 149, 148,  90
 68, 254,  67,  66
 69, 175,  68, 174
 70, 176,  69, 175
 71, 177,  70, 176
 72, 311, 292, 177
 73, 178,  71, 177
 74, 180,  73, 179
 75, 181,  74, 180
 76, 182,  75, 181
 77, 183,  76, 182
 78, 184,  77, 183
 79, 185,  78, 184
 80, 201,  79, 185
 81, 202,  80, 201
 82, 315, 201, 310
 83, 204,  82, 203
 84, 205,  83, 204
 85, 206,  84, 205
 86, 374, 284, 316
 87, 207,  85, 206
 88, 232,   9, 135
 89, 446, 439, 332
 90, 269, 262, 166
